DATE,festival_name,tithi,hindu_month,price,is_festival
2010-01-01,,,,404,0
2010-01-02,,,,404,0
2010-01-03,,,,404,0
2010-01-04,,,,404,0
2010-01-05,,,,404,0
2010-01-06,,,,404,0
2010-01-07,,,,404,0
2010-01-08,,,,404,0
2010-01-09,,,,404,0
2010-01-10,,,,244,0
2010-01-11,,,,144,0
2010-01-12,,,,144,0
2010-01-13,,,,184,0
2010-01-14,Makara Sankranti,Dhanu to Makara transit of Sun,Magha,244,1
2010-01-15,,,,164,0
2010-01-16,,,,164,0
2010-01-17,,,,144,0
2010-01-18,,,,144,0
2010-01-19,,,,122,0
2010-01-20,,,,224,0
2010-01-21,,,,244,0
2010-01-22,,,,164,0
2010-01-23,,,,102,0
2010-01-24,,,,144,0
2010-01-25,,,,164,0
2010-01-26,,,,164,0
2010-01-27,,,,204,0
2010-01-28,,,,224,0
2010-01-29,,,,244,0
2010-01-30,,,,204,0
2010-01-31,,,,184,0
2010-02-01,,,,202,0
2010-02-02,,,,204,0
2010-02-03,,,,224,0
2010-02-04,,,,404,0
2010-02-05,,,,404,0
2010-02-06,,,,404,0
2010-02-07,,,,324,0
2010-02-08,,,,304,0
2010-02-09,,,,284,0
2010-02-10,,,,404,0
2010-02-11,,,,404,0
2010-02-12,Maha Shivaratri,Krishna Chaturdashi,Phalguna,404,1
2010-02-13,,,,344,0
2010-02-14,,,,344,0
2010-02-15,,,,324,0
2010-02-16,,,,404,0
2010-02-17,,,,404,0
2010-02-18,,,,404,0
2010-02-19,,,,204,0
2010-02-20,,,,204,0
2010-02-21,,,,224,0
2010-02-22,,,,102,0
2010-02-23,,,,122,0
2010-02-24,,,,102,0
2010-02-25,,,,122,0
2010-02-26,,,,144,0
2010-02-27,,,,304,0
2010-02-28,,,,304,0
2010-03-01,,,,102,0
2010-03-02,,,,102,0
2010-03-03,,,,164,0
2010-03-04,,,,122,0
2010-03-05,,,,184,0
2010-03-06,,,,184,0
2010-03-07,,,,122,0
2010-03-08,,,,102,0
2010-03-09,,,,82,0
2010-03-10,,,,82,0
2010-03-11,,,,82,0
2010-03-12,,,,102,0
2010-03-13,,,,164,0
2010-03-14,,,,144,0
2010-03-15,,,,144,0
2010-03-16,Ugadi,Shukla Pratipada,Chaitra,122,1
2010-03-17,,,,122,0
2010-03-18,,,,164,0
2010-03-19,,,,144,0
2010-03-20,,,,102,0
2010-03-21,,,,122,0
2010-03-22,,,,102,0
2010-03-23,,,,102,0
2010-03-24,Rama Navami,Shukla Navami,Chaitra,102,1
2010-03-25,,,,82,0
2010-03-26,,,,82,0
2010-03-27,,,,82,0
2010-03-28,,,,144,0
2010-03-29,,,,144,0
2010-03-30,,,,184,0
2010-03-31,,,,244,0
2010-04-01,,,,184,0
2010-04-02,,,,204,0
2010-04-03,,,,224,0
2010-04-04,,,,404,0
2010-04-05,,,,144,0
2010-04-06,,,,102,0
2010-04-07,,,,204,0
2010-04-08,,,,164,0
2010-04-09,,,,122,0
2010-04-10,,,,164,0
2010-04-11,,,,102,0
2010-04-12,,,,82,0
2010-04-13,,,,144,0
2010-04-14,,,,102,0
2010-04-15,,,,102,0
2010-04-16,,,,122,0
2010-04-17,,,,122,0
2010-04-18,,,,144,0
2010-04-19,,,,82,0
2010-04-20,,,,102,0
2010-04-21,,,,102,0
2010-04-22,,,,122,0
2010-04-23,,,,122,0
2010-04-24,,,,122,0
2010-04-25,,,,164,0
2010-04-26,,,,122,0
2010-04-27,,,,122,0
2010-04-28,,,,164,0
2010-04-29,,,,164,0
2010-04-30,,,,144,0
2010-05-01,,,,204,0
2010-05-02,,,,122,0
2010-05-03,,,,82,0
2010-05-04,,,,102,0
2010-05-05,,,,102,0
2010-05-06,,,,102,0
2010-05-07,,,,102,0
2010-05-08,,,,82,0
2010-05-09,,,,82,0
2010-05-10,,,,62,0
2010-05-11,,,,82,0
2010-05-12,,,,82,0
2010-05-13,,,,102,0
2010-05-14,,,,144,0
2010-05-15,,,,304,0
2010-05-16,,,,82,0
2010-05-17,,,,62,0
2010-05-18,,,,102,0
2010-05-19,,,,204,0
2010-05-20,,,,164,0
2010-05-21,,,,184,0
2010-05-22,,,,184,0
2010-05-23,,,,304,0
2010-05-24,,,,224,0
2010-05-25,,,,404,0
2010-05-26,,,,264,0
2010-05-27,,,,284,0
2010-05-28,,,,244,0
2010-05-29,,,,164,0
2010-05-30,,,,102,0
2010-05-31,,,,70,0
2010-06-01,,,,144,0
2010-06-02,,,,82,0
2010-06-03,,,,70,0
2010-06-04,,,,70,0
2010-06-05,,,,122,0
2010-06-06,,,,62,0
2010-06-07,,,,50,0
2010-06-08,,,,62,0
2010-06-09,,,,62,0
2010-06-10,,,,50,0
2010-06-11,,,,62,0
2010-06-12,,,,70,0
2010-06-13,,,,102,0
2010-06-14,,,,82,0
2010-06-15,,,,144,0
2010-06-16,,,,82,0
2010-06-17,,,,70,0
2010-06-18,,,,102,0
2010-06-19,,,,304,0
2010-06-20,,,,102,0
2010-06-21,Ganga Dussehra,Shukla Dashami,Jyeshtha,102,1
2010-06-22,,,,82,0
2010-06-23,,,,102,0
2010-06-24,,,,164,0
2010-06-25,,,,144,0
2010-06-26,,,,144,0
2010-06-27,,,,164,0
2010-06-28,,,,144,0
2010-06-29,,,,82,0
2010-06-30,,,,70,0
2010-07-01,,,,82,0
2010-07-02,,,,164,0
2010-07-03,,,,404,0
2010-07-04,,,,324,0
2010-07-05,,,,144,0
2010-07-06,,,,144,0
2010-07-07,,,,224,0
2010-07-08,,,,184,0
2010-07-09,,,,184,0
2010-07-10,,,,204,0
2010-07-11,,,,204,0
2010-07-12,,,,244,0
2010-07-13,,,,404,0
2010-07-14,,,,404,0
2010-07-15,,,,404,0
2010-07-16,,,,404,0
2010-07-17,,,,404,0
2010-07-18,,,,164,0
2010-07-19,,,,164,0
2010-07-20,,,,102,0
2010-07-21,,,,122,0
2010-07-22,,,,204,0
2010-07-23,,,,144,0
2010-07-24,,,,184,0
2010-07-25,Guru Purnima,Shukla Purnima,Ashadha,184,1
2010-07-26,,,,184,0
2010-07-27,,,,144,0
2010-07-28,,,,144,0
2010-07-29,,,,122,0
2010-07-30,,,,244,0
2010-07-31,,,,22,0
2010-08-01,,,,144,0
2010-08-02,,,,144,0
2010-08-03,,,,122,0
2010-08-04,,,,102,0
2010-08-05,,,,204,0
2010-08-06,,,,144,0
2010-08-07,,,,122,0
2010-08-08,,,,122,0
2010-08-09,,,,144,0
2010-08-10,,,,102,0
2010-08-11,,,,102,0
2010-08-12,,,,164,0
2010-08-13,,,,304,0
2010-08-14,Nag Panchami,Shukla Panchami,Shravana,224,1
2010-08-15,,,,324,0
2010-08-16,,,,364,0
2010-08-17,,,,344,0
2010-08-18,,,,404,0
2010-08-19,,,,404,0
2010-08-20,Varalakshmi Vrat,Friday before Shravana Purnima,Shravana,404,1
2010-08-21,,,,404,0
2010-08-22,,,,405,0
2010-08-23,,,,405,0
2010-08-24,,,,265,0
2010-08-25,,,,265,0
2010-08-26,,,,325,0
2010-08-27,,,,405,0
2010-08-28,,,,405,0
2010-08-29,,,,165,0
2010-08-30,,,,185,0
2010-08-31,,,,145,0
2010-09-01,Janmashtami *Smarta,Krishna Ashtami,Bhadrapada,205,1
2010-09-02,Janmashtami *ISKCON,Krishna Ashtami,Bhadrapada,145,1
2010-09-03,,,,85,0
2010-09-04,,,,85,0
2010-09-05,,,,85,0
2010-09-06,,,,165,0
2010-09-07,,,,165,0
2010-09-08,,,,245,0
2010-09-09,,,,305,0
2010-09-10,Eid ul-Fitr,,,405,1
2010-09-11,Ganesh Chaturthi,Shukla Chaturthi,Bhadrapada,405,1
2010-09-12,,,,245,0
2010-09-13,,,,265,0
2010-09-14,,,,365,0
2010-09-15,,,,405,0
2010-09-16,,,,405,0
2010-09-17,,,,405,0
2010-09-18,,,,405,0
2010-09-19,,,,405,0
2010-09-20,,,,405,0
2010-09-21,,,,405,0
2010-09-22,Anant Chaturdashi | Ganesh Visarjan,Shukla Chaturdashi,Bhadrapada,405,1
2010-09-23,,,,405,0
2010-09-24,,,,405,0
2010-09-25,,,,405,0
2010-09-26,,,,325,0
2010-09-27,,,,305,0
2010-09-28,,,,145,0
2010-09-29,,,,105,0
2010-09-30,,,,50,0
2010-10-01,,,,65,0
2010-10-02,,,,105,0
2010-10-03,,,,65,0
2010-10-04,,,,65,0
2010-10-05,,,,65,0
2010-10-06,,,,125,0
2010-10-07,,,,245,0
2010-10-08,Navratri Begins,Shukla Pratipada,Ashwina,245,1
2010-10-09,,,,225,0
2010-10-10,,,,185,0
2010-10-11,,,,225,0
2010-10-12,,,,305,0
2010-10-13,,,,405,0
2010-10-14,Saraswati Puja,Purva Ashadha Nakshatra,Ashwina,405,1
2010-10-15,Durga Ashtami,Shukla Ashtami,Ashwina,405,1
2010-10-16,,,,405,0
2010-10-17,Dussehra | Vijayadashami,Shukla Dashami,Ashwina,405,1
2010-10-18,,,,245,0
2010-10-19,,,,245,0
2010-10-20,,,,405,0
2010-10-21,,,,405,0
2010-10-22,,,,365,0
2010-10-23,,,,365,0
2010-10-24,,,,325,0
2010-10-25,,,,325,0
2010-10-26,,,,405,0
2010-10-27,,,,405,0
2010-10-28,,,,405,0
2010-10-29,,,,365,0
2010-10-30,,,,405,0
2010-10-31,,,,205,0
2010-11-01,,,,265,0
2010-11-02,,,,245,0
2010-11-03,,,,405,0
